bestobjid,mjd,z,oiii_4959_flux,oiii_5007_flux,h_beta_flux,nii_6548_flux,nii_6584_flux,h_alpha_flux
1.23765E+18,51990,0.1382398,4.350207,7.855535,14.0905,5.680768,17.13451,45.79275
1.23765E+18,51990,0.02399185,56.3093,173.7279,71.45789,5.883532,17.74609,207.0183
1.23765E+18,51990,0.3051564,-0.1465652,1.750571,3.800311,3.456907,10.42683,11.74752
1.23765E+18,51990,0.0229938,4.071712,7.61201,14.49775,7.283972,21.97014,51.68657
1.23765E+18,51990,0.02326956,3.623006,9.241651,19.69288,7.75813,23.40031,89.64109
1.23765E+18,51941,0.1512292,2.163753,13.34226,13.83703,8.950499,26.99677,50.09874
1.23765E+18,51941,0.1528564,5.681599,1.764901,16.95098,-0.04942547,-0.1490786,22.72478
1.23765E+18,51941,0.0718729,50.27746,163.8236,385.7512,185.7095,560.1428,1619.234
1.23765E+18,51941,0.1081534,9.757323,6.060862,18.59096,15.47484,46.6757,83.72253
1.23765E+18,51941,0.06397326,0.6417024,3.829491,4.649431,1.808182,5.453894,11.88002
1.23765E+18,51941,0.2032925,-2.645847,1.716111,0.4070121,1.928393,5.816479,-1.688789
1.23765E+18,51941,0.2708198,-1.877016,4.047125,2.118498,3.331983,10.05003,4.020495
1.23765E+18,51941,0.3425276,-0.5775813,1.551632,0.8481415,-11.13821,-33.5954,2.007048
1.23765E+18,51941,0.1894281,-8.31863,10.97171,2.992872,2.937851,8.861238,9.301923
1.23765E+18,51941,0.005315727,80.62975,250.7451,104.1469,10.01016,30.19295,336.0567
1.23765E+18,51941,0.09079736,3.927167,5.416064,17.13078,8.037915,24.24421,58.51395
1.23765E+18,51928,0.168021,-0.9559586,0.4485778,7.719118,0.1469598,0.4432646,6.617961
1.23767E+18,51928,0.1430917,-0.5269734,10.59826,7.832525,1.000436,3.017546,3.918957
1.23767E+18,51928,0.1399146,2.156184,11.36298,4.49362,8.590886,25.91209,44.47297
1.23767E+18,51928,0.07224718,1.293315,10.57234,21.09411,12.60776,38.0279,87.5537
1.23765E+18,51928,0.08957271,1.762633,16.34058,52.54016,25.4943,76.89668,230.7378
1.23767E+18,51928,0.04841816,-1.790918,26.1897,11.9389,8.104642,24.44547,25.41641
1.23765E+18,51928,0.07157665,1.046349,9.859483,11.19445,15.15363,45.70684,42.90821
1.23765E+18,51928,0.3562966,2.24165,0.9688637,-2.193393,-0.3924251,-1.183645,-20.21155
1.23765E+18,51928,0.006215455,61.50131,176.955,55.05654,44.29675,133.6092,249.5112
1.23765E+18,51928,0.07963566,13.42195,28.55826,90.99994,40.66598,122.658,381.8693
1.23767E+18,51928,0.08996002,5.284931,15.64197,15.26545,8.13649,24.54153,52.15891
1.23767E+18,51928,0.07202478,11.41793,43.75038,13.72024,15.58038,46.99404,49.51328
1.23767E+18,51928,0.07223579,40.54998,117.7579,105.7998,44.67541,134.7514,579.0705
1.23765E+18,51609,0.0966242,11.86205,25.03017,136.7089,74.30898,224.133,633.4443
1.23765E+18,51609,0.1393674,0.9335347,6.860244,17.42928,8.780407,26.48373,65.16016
1.23765E+18,51609,0.193707,1.704767,3.657963,2.228026,1.27934,3.858785,2.434641
1.23765E+18,51609,0.08644535,4.716372,10.43079,21.41294,10.26855,30.97232,72.01345
1.23765E+18,51609,0.1940414,-2.389868,7.118903,4.39601,-0.7207617,-2.173984,5.418774
1.23767E+18,51609,0.08102039,-1.93529,3.358991,2.316373,-0.7479367,-2.25595,-1.424962
1.23767E+18,51609,0.09650023,-0.1272395,8.01251,13.69065,18.30242,55.20433,79.88602
1.23767E+18,51609,0.1073077,-0.3769683,4.408144,4.29263,0.5992243,1.807399,-0.4432309
1.23765E+18,51609,0.09679825,2.389171,3.997589,21.50669,8.756796,26.41252,79.43229
1.23765E+18,51609,0.08260384,0.1918081,3.955664,26.89165,16.28466,49.11829,120.3965
1.23765E+18,51609,0.09938732,5.22841,10.91055,14.28797,8.512446,25.6755,43.91245
1.23765E+18,51609,0.3746118,-0.6866708,3.293864,1.98944,6.958958,20.98982,4.450577
1.23765E+18,51986,0.3650084,2.082406,0.6093007,-1.617428,-1.150298,-3.469564,-356.3598
1.23765E+18,51986,0.09725162,1.308021,2.394971,1.168946,0.486356,1.466962,1.314803
1.23765E+18,51986,0.117861,1.369181,19.70152,45.18015,47.08516,142.0197,250.7782
1.23765E+18,51986,0.3027537,0.06373166,4.344697,1.482919,0.2694965,0.8128638,-4.581658
1.23765E+18,51986,0.09805194,4.593904,7.174485,22.61928,6.534194,19.70864,74.5052
1.23765E+18,51986,0.08194392,9.751417,30.94555,18.31632,15.45824,46.62562,42.47427
1.23765E+18,51986,0.08285747,3.156245,11.48061,16.9322,13.23919,39.93247,104.5713
1.23765E+18,51986,0.09099182,3.839236,4.588001,-3.351337,-1.06133,-3.201217,13.95597
1.23765E+18,51986,0.2232876,-1.054695,1.196994,0.3019477,9.812226,29.59594,21.35998
1.23765E+18,51986,0.371696,0.9236465,3.975322,-1.281277,4.700037,14.1764,7.478377
1.23765E+18,51986,0.1750753,8.121804,14.38883,69.31342,35.35981,106.6534,295.6434
1.23765E+18,51986,0.09482279,3.620046,10.72098,3.811116,2.014597,6.076489,9.646947
